Time,Subsystem #1|Branch Currents|MAINIA,Subsystem #1|Branch Currents|MAINIB,Subsystem #1|Branch Currents|MAINIC
0,-0.051827561,0.189693615,-0.12812379
1.67E-04,-0.057562359,0.186401725,-0.120684043
3.33E-04,-0.06313917,0.182386324,-0.11271017
5.00E-04,-0.068530016,0.177650675,-0.104226738
6.67E-04,-0.073705442,0.172200874,-0.095262535
8.33E-04,-0.078635201,0.166047022,-0.085851252
1.00E-03,-0.083288118,0.159202203,-0.076030388
0.00116662,-0.087632358,0.151682481,-0.065841191
0.00133328,-0.091636963,0.143508792,-0.055328939
0.00149994,-0.095271617,0.134706244,-0.044542465
0.0016666,-0.09850847,0.125305429,-0.033533916
0.00183326,-0.101322025,0.115341708,-0.022357855
0.00199992,-0.103689231,0.104854696,-0.01107084
0.00216658,-0.105590902,0.093888827,2.69E-04
0.00233324,-0.10701181,0.082493022,0.011604685
0.0024999,-0.107940488,0.07071951,0.022876607
0.00266656,-0.108370058,0.058623824,0.034028172
0.00283322,-0.108298399,0.046264552,0.045003809
0.00299988,-0.107727602,0.033702262,0.055749889
0.00316654,-0.106664218,0.020998936,0.066215672
0.0033332,-0.105119273,0.008217475,0.076353654
0.00349986,-0.103107564,-0.004579117,0.086119741
0.00366652,-0.100648888,-0.017327728,0.095474526
0.00383318,-0.097764373,-0.029967556,0.104381926
0.00399984,-0.094477609,-0.042439561,0.11280977
0.0041665,-0.090815052,-0.05468687,0.120730586
0.00433316,-0.086804494,-0.066655613,0.128121063
0.00449982,-0.082474642,-0.078295156,0.134961575
0.00466648,-0.077855252,-0.089558303,0.141236693
0.00483314,-0.072975978,-0.100401722,0.146934405
0.0049998,-0.067865625,-0.110785946,0.152045399
0.00516646,-0.062552117,-0.120675661,0.156563163
0.00533312,-0.057061847,-0.130039617,0.160483465
0.00549978,-0.051419254,-0.138850465,0.163803414
0.00566644,-0.045646787,-0.147084415,0.166521415
0.0058331,-0.039764836,-0.154721111,0.168636844
0.00599976,-0.033791687,-0.161743015,0.170149252
0.00616642,-0.027743574,-0.168135181,0.171058327
0.00633308,-0.021635266,-0.173885182,0.171364382
0.00649974,-0.015479862,-0.178982198,0.171067223
0.0066664,-0.009288946,-0.183416262,0.170165554
0.00683306,-0.003073311,-0.187178791,0.168658227
0.00699972,0.003156665,-0.190261811,0.166543886
0.00716638,0.009390137,-0.192658052,0.163821951
0.00733304,0.015615894,-0.194360867,0.16049245
0.0074997,0.021821626,-0.19536379,0.156556338
0.00766636,0.027993495,-0.195660904,0.152016297
0.00783302,0.034115892,-0.195246682,0.146876901
0.00799968,0.040171299,-0.194116309,0.141145006
0.00816634,0.046140101,-0.192265779,0.134830192
0.008333,0.052000474,-0.189692423,0.127945349
0.00849966,0.057728492,-0.186395228,0.12050695
0.00866632,0.063298054,-0.182374939,0.112535358
0.00883298,0.068681225,-0.17763491,0.104055144
0.00899964,0.073848747,-0.172181279,0.095095061
0.0091663,0.078770459,-0.166024238,0.085688643
0.00933296,0.083415233,-0.159176901,0.075873449
0.00949962,0.087751523,-0.15165548,0.06569057
0.00966628,0.091748491,-0.143481031,0.055185325
0.00983294,0.095375977,-0.134678721,0.044406395
0.0099996,0.098606281,-0.125279069,0.033405758
0.01016626,0.10141404,-0.115317494,0.022237848
0.01033292,0.103776224,-0.104833528,0.010959138
0.01049958,0.10567373,-0.093871616,-3.73E-04
0.01066624,0.107091427,-0.082480565,-0.011699716
0.0108329,0.108017877,-0.070712551,-0.022963637
0.01099956,0.108446248,-0.058623027,-0.034107562
0.01116622,0.108374499,-0.046270467,-0.045076087
0.01133288,0.107804701,-0.033715356,-0.055815764
0.01149954,0.106743433,-0.021019574,-0.066275842
0.0116662,0.105201751,-0.008245913,-0.076409012
0.01183286,0.103194401,0.004542751,-0.086171277
0.01199952,0.100741096,0.017283412,-0.095523223
0.01216618,0.097862899,0.029915368,-0.10442882
0.01233284,0.094583236,0.042379752,-0.112855882
0.0124995,0.090928338,0.054619811,-0.120776877
0.01266616,0.086925857,0.066581838,-0.128168449
0.01283282,0.082604393,0.078215294,-0.135011032
0.01299948,0.077993564,0.089473076,-0.141289145
0.01316614,0.073122904,0.100311913,-0.146990717
0.0133328,0.068021171,0.110692427,-0.152106449
0.01349946,0.062716134,0.120579362,-0.156629816
0.01366612,0.057234127,0.129941523,-0.160556436
0.01383278,0.051599525,0.138751522,-0.163883463
0.01399944,0.045834638,0.14698574,-0.166609228
0.0141661,0.039959807,0.154623762,-0.168733016
0.01433276,0.033993229,0.161648095,-0.17025435
0.01449942,0.027951028,0.168043852,-0.171172842
0.01466608,0.021847926,0.173798576,-0.171488777
0.01483274,0.015696915,0.178901389,-0.171201751
0.0149994,0.00950951,0.183342204,-0.170310289
0.01516606,0.003296351,0.187112257,-0.168812886
0.01533272,-0.002932206,0.190203309,-0.166707963
0.01549938,-0.009165435,0.192608044,-0.16399473
0.01566604,-0.015392095,0.194319695,-0.160673127
0.0158327,-0.02159984,0.195331618,-0.156743974
0.01599936,-0.027774826,0.195637777,-0.152209893
0.01616602,-0.033901341,0.195232704,-0.147075474
0.01633268,-0.039961822,0.194111347,-0.141347513
0.01649934,-0.045936584,0.192269653,-0.135035574
0.016666,-0.05180366,0.189704925,-0.128152594
0.01683266,-0.057539038,0.186415941,-0.120715074
0.01699932,-0.063116603,0.18240349,-0.112743288
0.01716598,-0.068508327,0.177670777,-0.104261823
0.01733264,-0.073684707,0.172223821,-0.09529949
0.0174993,-0.078615554,0.166072786,-0.085889876
0.01766596,-0.083269738,0.159230769,-0.076070517
0.01783262,-0.087615281,0.151713699,-0.06588266
0.01799928,-0.091621295,0.143542647,-0.055371623
0.01816594,-0.095257543,0.134742618,-0.044586152
0.0183326,-0.098496087,0.125344217,-0.033578385
0.01849926,-0.101311386,0.115382709,-0.022402901
0.01866592,-0.103680477,0.104897723,-0.0111162
0.01883258,-0.10558413,0.093933724,2.24E-04
0.01899924,-0.107007012,0.082539529,0.011559394
0.0191659,-0.107937746,0.070767403,0.022831758
0.01933256,-0.10836941,0.058672924,0.033983938
0.01949922,-0.10829977,0.046314593,0.044960361
0.01966588,-0.107730992,0.033753056,0.055707458
0.01983254,-0.106669612,0.021050233,0.066174462
0.0199992,-0.10512659,0.008269011,0.076313794
0.02016586,-0.103116766,-0.004527574,0.086081453
0.02033252,-0.10065987,-0.017276479,0.095437966
0.02049918,-0.097777054,-0.029916815,0.104347222
0.02066584,-0.094491892,-0.042389598,0.112777047
0.0208325,-0.09083084,-0.054637924,0.120699979
0.02099916,-0.086821646,-0.0666079,0.128092602
0.02116582,-0.082493052,-0.078248836,0.134935364
0.02133248,-0.077874802,-0.089513533,0.141212806
0.02149914,-0.072996527,-0.100358672,0.146912843
0.0216658,-0.067887083,-0.110744804,0.152026191
0.02183246,-0.062574342,-0.120636545,0.156546354
0.02199912,-0.057084758,-0.130002648,0.160469055
0.02216578,-0.051442742,-0.138815716,0.163791388
0.02233244,-0.045670759,-0.147052035,0.166511864
0.0224991,-0.039789237,-0.154691115,0.168629706
0.02266576,-0.033816405,-0.161715508,0.170144513
0.02283242,-0.027768567,-0.168110207,0.171056002
0.02299908,-0.021660488,-0.173862815,0.171364471
0.02316574,-0.015505238,-0.178962469,0.171069667
0.0233324,-0.009314424,-0.183399186,0.170170397
0.02349906,-0.003098846,-0.187164456,0.168665499
0.02366572,0.003131079,-0.190250218,0.166553572
0.02383238,0.009364585,-0.19264923,0.163834021
0.02399904,0.015590407,-0.194354847,0.160506994
0.0241657,0.021796262,-0.195360661,0.15657337
0.02433236,0.02796831,-0.195660591,0.152035713
0.02449902,0.034090936,-0.195249245,0.146898702
0.02466568,0.040146671,-0.194121748,0.141169176
0.02483234,0.046115894,-0.192274109,0.134856597
0.024999,0.051976807,-0.189703658,0.127973989
0.02516566,0.057705365,-0.186409354,0.120537795
0.02533232,0.063275665,-0.182391986,0.112568252
0.02549898,0.068659708,-0.177654862,0.10409002
0.02566564,0.073828146,-0.172204107,0.095131822
0.0258323,0.078750916,-0.166049883,0.085727148
0.02599896,0.083396934,-0.159205332,0.075913459
0.02616562,0.087734506,-0.151686579,0.06573198
0.02633228,0.091732882,-0.143514708,0.055227935
0.02649894,0.095361963,-0.134714827,0.044449937
0.0266656,0.098593965,-0.125317574,0.033450041
0.02683226,0.101403423,-0.115358152,0.022282716
0.02699892,0.103767462,-0.104876228,0.011004347
0.02716558,0.105666928,-0.0939162,-3.27E-04
0.02733224,0.107086562,-0.082526825,-0.011654528
0.0274989,0.108015023,-0.070760235,-0.0229188
0.02766556,0.108445473,-0.058671903,-0.034063332
0.02783222,0.108375713,-0.046320304,-0.045032632
0.02799888,0.107807927,-0.033765901,-0.055773288
0.02816554,0.106748663,-0.021070598,-0.066234611
0.0283322,0.105208881,-0.008297122,-0.076369159
