Time,Subsystem #1|Branch Currents|MAINIA,Subsystem #1|Branch Currents|MAINIB,Subsystem #1|Branch Currents|MAINIC,,,
0,0.013287402,-0.193806872,0.161796033,,,
1.67E-04,0.019501036,-0.195076466,0.158091381,,,
3.33E-04,0.025686005,-0.195642427,0.153781816,,,
5.00E-04,0.031827383,-0.195498943,0.148871079,,,
6.67E-04,0.037908468,-0.194640964,0.143365115,,,
8.33E-04,0.043910515,-0.193064392,0.137272582,,,
1.00E-03,0.049812611,-0.190766007,0.130605027,,,
0.00116662,0.055591702,-0.187744111,0.123377375,,,
0.00133328,0.06122255,-0.183998793,0.115608506,,,
0.00149994,0.066677943,-0.179532364,0.107321285,,,
0.0016666,0.071929067,-0.17434974,0.098542765,,,
0.00183326,0.076945767,-0.168458909,0.089304388,,,
0.00199992,0.081697918,-0.161873162,0.07964281,,,
0.00216658,0.086153761,-0.154606983,0.069597565,,,
0.00233324,0.090281852,-0.146679089,0.059212189,,,
0.0024999,0.094052121,-0.138113648,0.048534293,,,
0.00266656,0.097435981,-0.128939077,0.03761458,,,
0.00283322,0.10040658,-0.119188346,0.026506407,,,
0.00299988,0.102940299,-0.10889966,0.015265509,,,
0.00316654,0.105016857,-0.098115906,0.003949051,,,
0.0033332,0.106619082,-0.086883955,-0.007384767,,,
0.00349986,0.107734121,-0.075254716,-0.018677861,,,
0.00366652,0.108353742,-0.063282728,-0.029872838,,,
0.00383318,0.108473741,-0.05102526,-0.04091344,,,
0.00399984,0.108094491,-0.038541935,-0.051745404,,,
0.0041665,0.107221179,-0.025894223,-0.062317185,,,
0.00433316,0.105863035,-0.013144617,-0.072580025,,,
0.00449982,0.104033276,-3.56E-04,-0.082488559,,,
0.00466648,0.101749964,0.012408761,-0.092001855,,,
0.00483314,0.099033751,0.025087873,-0.101082474,,,
0.0049998,0.095906973,0.037621744,-0.109696604,,,
0.00516646,0.092395015,0.049952775,-0.117815152,,,
0.00533312,0.088524662,0.062026113,-0.125412867,,,
0.00549978,0.084324628,0.073789798,-0.132468924,,,
